Maturity,Rate
0.25,1.322637363
0.5,1.401813187
0.75,1.468571429
1,1.546813187
1.25,1.619230769
1.5,1.701923077
1.75,1.756758242
2,1.807307692
2.25,1.862142857
2.5,1.93
2.75,1.974285714
3,2.014725275
3.25,2.055164835
3.5,2.108351648
3.75,2.145384615
4,2.185164835
4.25,2.225604396
4.5,2.270054945
4.75,2.305769231
5,2.31
